Date,Open,High,Low,Close,Adj Close,Volume
2012-05-01,41.72257992433053,44.64961071723718,26.621090047488412,29.369522094726562,1251513200,29.369522094726562
2012-06-01,28.66505035464664,33.189545742122505,25.321291575884075,30.85784339904785,667910500,30.85784339904785
2012-07-01,31.006672469832967,32.62398156565783,21.441734751937965,21.54095458984375,520189700,21.54095458984375
2012-08-01,21.332591551416936,22.275195190920275,17.88961117767328,17.919376373291016,1151944900,17.919376373291016
2012-09-01,17.939221757753526,23.188032594192503,17.413347870053503,21.49134635925293,1058643700,21.49134635925293
2012-10-01,21.908073608853034,24.061176940688778,18.653612706298055,20.945627212524414,1100938300,20.945627212524414
2012-11-01,20.915862397379247,27.781980514526367,18.723071272309944,27.781980514526367,1527490200,27.781980514526367
2012-12-01,27.781981316725407,28.65512846826654,24.954172125630684,26.41272735595703,1191832200,26.41272735595703
2013-01-01,27.226340278565075,32.25686077006633,27.20649555341192,30.7387752532959,1675851700,30.7387752532959
2013-02-01,30.768546379477034,30.778468743355948,26.13490842787897,27.037822723388672,957639800,27.037822723388672
2013-03-01,26.83937640717634,28.456685591840046,24.52751885653507,25.380823135375977,727180500,25.380823135375977
2013-04-01,25.430433593590397,27.881202383131757,24.9541715224437,27.55377197265625,738509200,27.55377197265625
2013-05-01,27.633147825632783,28.84364767882223,23.078887466608517,24.160400390625,982094800,24.160400390625
2013-06-01,24.081024564758103,24.993861153919635,22.493482423716664,24.6862735748291,788331500,24.6862735748291
2013-07-01,24.775571912546976,38.01170284718903,23.961957096125314,36.513458251953125,1438017100,36.513458251953125
2013-08-01,37.0095714074818,41.93095060460109,35.73953904306263,40.968505859375,1344994100,40.968505859375
2013-09-01,41.51421516560179,51.198217767379525,41.117328230818195,49.83888626098633,1583083800,49.83888626098633
2013-10-01,49.58091686619649,54.40307576843944,44.90758773914944,49.81904602050781,2032635000,49.81904602050781
2013-11-01,50.45406349604114,51.684410109569576,43.21090447775425,46.64396286010742,1357311900,46.64396286010742
2013-12-01,46.534820303667374,58.12387569097312,45.899800407312675,54.2244758605957,1517533200,54.2244758605957
2014-01-01,54.40307436737703,62.87657576913152,51.446274461700774,62.08280563354492,1294714800,62.08280563354492
2014-02-01,62.53922086469921,70.88374072323909,60.22736518674621,67.92694091796875,1110774100,67.92694091796875
2014-03-01,66.43862329042149,72.02478326294577,57.52854540971336,59.77095031738281,1255440000,59.77095031738281
2014-04-01,59.98923113010721,63.412368680570275,54.234393219832945,59.31452560424805,1883965100,59.31452560424805
2014-05-01,59.959465610598315,63.79933480511711,55.821933105689006,62.8071174621582,1120155500,62.8071174621582
2014-06-01,62.73767094554903,67.47053068453094,61.30888459953357,66.76605987548828,863389800,66.76605987548828
2014-07-01,67.05379738326337,76.14247008772179,61.72560758804774,72.08432006835938,1028365000,72.08432006835938
2014-08-01,71.65766535611306,75.39830719045686,70.99288407990161,74.23741912841797,590763600,74.23741912841797
2014-09-01,74.42594835900732,79.08934950812431,72.50105144648332,78.42456817626953,720995800,78.42456817626953
2014-10-01,78.16659596377886,80.52806947163978,69.77246876732481,74.4061050415039,1083643000,74.4061050415039
2014-11-01,74.88236891582275,77.66056272513337,71.94541728141394,77.09500122070312,490965300,77.09500122070312
2014-12-01,76.65842162033792,81.53018625433778,73.82069023850119,77.4124984741211,534527100,77.4124984741211
2015-01-01,77.96814774637339,78.6329290521621,72.96739021434192,75.31893920898438,546210700,75.31893920898438
2015-02-01,75.51737863189982,80.73642435179032,72.87808678979158,78.35511016845703,475148700,78.35511016845703
2015-03-01,78.38488179171067,85.3998323024224,76.65843208450302,81.5798110961914,575349900,81.5798110961914
2015-04-01,81.85762204828282,84.9235584404965,77.71016889503693,78.15666198730469,542124600,78.15666198730469
2015-05-01,78.6230085459474,81.21268681228699,76.19208809930181,78.57340240478516,421870700,78.57340240478516
2015-06-01,78.68254897937751,88.70390577696789,78.04753282067803,85.10216522216797,537740300,85.10216522216797
2015-07-01,86.09436817745447,98.46727261220774,84.56636594054623,93.27799987792969,790781000,93.27799987792969
2015-08-01,92.80173984597491,97.97117196342751,71.43938154727329,88.7336654663086,709884600,88.7336654663086
2015-09-01,86.17375005526847,95.73868859909626,85.05255140713959,89.20000457763672,635399800,89.20000457763672
2015-10-01,89.34884069944196,104.30149984926534,87.67199723690388,101.176025390625,571590400,101.176025390625
2015-11-01,100.92796975677902,109.78843760885145,99.6877027426031,103.4283447265625,547232800,103.4283447265625
2015-12-01,104.01376729099661,107.07970408776747,100.67000429061132,103.8450927734375,440304100,103.8450927734375
2016-01-01,101.15616774547397,111.96137263004734,88.67412711975165,111.3362808227539,792709100,111.3362808227539
2016-02-01,111.39582801205933,116.67440455742921,96.0661294791119,106.08748626708984,874152500,106.08748626708984
2016-03-01,106.99040919170079,116.07908309592649,103.58711576735878,113.21158599853516,521458900,113.21158599853516
2016-04-01,112.86429466125371,119.84947916890711,105.4822232078267,116.66447448730469,741613800,116.66447448730469
2016-05-01,116.91253780293319,120.1372322097476,114.97771661685086,117.88490295410156,460544200,117.88490295410156
2016-06-01,117.5773176856417,118.51000094031261,107.38728681701477,113.39017486572266,450876100,113.39017486572266
2016-07-01,113.31079407320377,127.3307775785919,112.09037554151794,122.97496032714844,470108600,122.97496032714844
2016-08-01,122.8856635514759,125.7432438132137,121.11952440081278,125.13799285888672,365670900,125.13799285888672
2016-09-01,125.39596463643697,130.9523598404731,124.62203916190916,127.27125549316406,376518100,127.27125549316406
2016-10-01,127.38041411674165,132.4605439928728,125.7631007572781,129.9700927734375,313284400,129.9700927734375
2016-11-01,130.38680098612673,130.91267301590582,112.66586437325097,117.49794006347656,644052900,117.49794006347656
2016-12-01,117.45824810568169,121.54617103212144,113.11235508295383,114.15418243408203,408728400,114.15418243408203
2017-01-01,115.12654188293557,132.10331704977426,114.6105941458263,129.30528259277344,378958900,129.30528259277344
2017-02-01,131.2202580811413,136.1118642153882,129.2854444493396,134.48463439941406,384700500,134.48463439941406
2017-03-01,135.40740038744931,141.8369407123506,135.02043766280198,140.94395446777344,342098600,140.94395446777344
2017-04-01,140.82488337933967,150.35014096923334,137.72918147561504,149.08010864257812,275586300,149.08010864257812
2017-05-01,150.55853460837048,152.40405296956376,143.29552198045434,150.2807159423828,403586900,150.2807159423828
2017-06-01,150.5684369291408,155.2814522531172,143.43441762687232,149.80442810058594,414757100,149.80442810058594
2017-07-01,150.53865543739153,174.12357801929986,146.64917976561344,167.93215942382812,419907600,167.93215942382812
2017-08-01,168.49772816826132,171.70257399684763,163.71525114048288,170.6309814453125,303622800,170.6309814453125
2017-09-01,171.05762114196378,172.6451689816948,160.30202919072195,169.53953552246094,304818300,169.53953552246094
2017-10-01,170.0554698237385,179.3922024189996,166.9796019419066,178.657958984375,318146600,178.657958984375
2017-11-01,180.94008984686926,182.8153731229656,172.6451827592728,175.8004150390625,350998700,175.8004150390625
2017-12-01,174.65936930627316,180.86070467941522,167.6940251759659,175.08602905273438,317095800,175.08602905273438
2018-01-01,176.2965052720179,189.17544870746502,174.4311539982379,185.43479919433594,495655700,185.43479919433594
2018-02-01,186.75444225282104,193.79916476506293,165.87825993788184,176.93153381347656,516251600,176.93153381347656
2018-03-01,177.61617087108638,184.65097758510902,147.85969138196182,158.5458221435547,996201700,158.5458221435547
2018-04-01,156.58120893472048,175.72101569635154,149.3380474065861,170.6607208251953,750072700,170.6607208251953
2018-05-01,170.66074360221677,191.21941113572862,168.90452124572093,190.28672790527344,401144100,190.28672790527344
2018-06-01,191.56669401428172,201.96508868278713,184.9783809353294,192.8069610595703,387265600,192.8069610595703
2018-07-01,191.86433496325478,216.91772783781238,165.2630913275566,171.23622131347656,647030700,171.23622131347656
2018-08-01,172.57570680082733,186.83382674447688,168.9442164760779,174.3616943359375,548832700,174.3616943359375
2018-09-01,172.14906308199878,172.53602578822662,157.63297297559396,163.17945861816406,500468800,163.17945861816406
2018-10-01,161.76056300816137,164.588377492203,137.94743940352032,150.6080780029297,622446300,150.6080780029297
2018-11-01,150.34020576025443,152.9298838075772,125.86229100808873,139.51515197753906,518151700,139.51515197753906
2018-12-01,141.8865589491654,146.04393677014255,122.06212591344455,130.0692901611328,558786200,130.0692901611328
2019-01-01,127.98565140822792,170.34324180670043,127.55899164178885,165.39210510253906,527547900,165.39210510253906
2019-02-01,164.5487192241658,171.1271010138879,158.34738349176706,160.19290161132812,302243200,160.19290161132812
2019-03-01,161.33395467793164,172.942852012031,158.03979790628358,165.39210510253906,387936100,165.39210510253906
2019-04-01,166.5232233898856,196.93456656356173,165.97750283900828,191.8941192626953,381985300,191.8941192626953
2019-05-01,193.26336513713204,194.65245813077453,175.78056622867737,176.08815002441406,286821500,176.08815002441406
2019-06-01,173.6374059489354,197.33147510264666,159.58765563970056,191.49725341796875,426428600,191.49725341796875
2019-07-01,193.69000096517388,207.0352693033136,190.43552680733083,192.71762084960938,351020900,192.71762084960938
2019-08-01,192.6581201152856,196.924641783174,175.28446477858014,184.22430419921875,294689500,184.22430419921875
2019-09-01,182.56729226158848,191.5964415761688,174.29223493071754,176.69338989257812,264538500,176.69338989257812
2019-10-01,177.75507438446144,196.5476038710065,171.74226191727317,190.15774536132812,326207200,190.15774536132812
2019-11-01,191.34841014889463,202.21314668437972,187.07195656203353,200.06996154785156,258303900,200.06996154785156
2019-12-01,200.55613864084364,207.3031789694349,191.6658981752034,203.65184020996094,276257100,203.65184020996094
2020-01-01,205.14015487697068,222.45427858466147,199.4944572611041,200.3378448486328,347314600,200.3378448486328
2020-02-01,201.85594402373619,217.06658084224682,180.4042901120362,190.9713592529297,317547300,190.9713592529297
2020-03-01,192.5192087778196,195.704221181124,136.03249427685594,165.50123596191406,649467700,165.50123596191406
2020-04-01,160.36154958680416,208.0572623454353,149.65557201180877,203.1160430908203,541334600,203.1160430908203
2020-05-01,200.0302686910131,239.0242512296078,197.21237054830306,223.3373565673828,509476500,223.3373565673828
2020-06-01,222.8412554741689,243.2808623032131,205.49736546516075,225.3019561767578,548043800,225.3019561767578
2020-07-01,226.72083700236223,253.85788853763043,225.13328898048937,251.69485473632812,517599700,251.69485473632812
2020-08-01,250.68271910117218,302.2976815346674,245.5033637426542,290.9169921875,574239100,290.9169921875
2020-09-01,292.41524131073396,301.23603413775646,242.22909422424405,259.8607177734375,499115300,259.8607177734375
2020-10-01,263.2838581259341,283.01896888373585,252.83585118828537,261.061279296875,454101600,261.061279296875
2020-11-01,262.53970838151685,295.0644669671091,255.3362284013672,274.8133850097656,356771600,274.8133850097656
2020-12-01,276.98639407201676,289.50812675169965,262.56952949631784,271.0331115722656,363901000,271.0331115722656
2021-01-01,272.6404693641395,284.5569651575539,242.70538494009728,256.31854248046875,452633100,256.31854248046875
2021-02-01,257.49932069292703,274.4463497629177,252.06199317682916,255.61412048339844,317775200,255.61412048339844
