Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.09829752147197723,0.09872487828235686,0.09829752147197723,0.09829752147197723,469033600,0.09829752147197723
1980-12-15,0.09359664369032072,0.09359664369032072,0.09316928684711456,0.09316928684711456,175884800,0.09316928684711456
1980-12-16,0.08675816707771451,0.08675816707771451,0.08633081614971161,0.08633081614971161,105728000,0.08633081614971161
1980-12-17,0.08846759796142578,0.08889495467171007,0.08846759796142578,0.08846759796142578,86441600,0.08846759796142578
1980-12-18,0.091032475233078,0.09145982616114613,0.091032475233078,0.091032475233078,73449600,0.091032475233078
1980-12-19,0.09658807516098022,0.0970154318364923,0.09658807516098022,0.09658807516098022,48630400,0.09658807516098022
1980-12-22,0.10128898918628694,0.1017171105431151,0.10128898918628694,0.10128898918628693,37363200,0.10128898918628693
1980-12-23,0.10556330531835556,0.10599066212506873,0.10556330531835556,0.10556330531835556,46950400,0.10556330531835556
1980-12-24,0.1111188754439354,0.11154623211940674,0.1111188754439354,0.1111188754439354,48003200,0.1111188754439354
1980-12-26,0.12137608230113983,0.12180343880230811,0.12137608230113983,0.12137608230113983,55574400,0.12137608230113983
1980-12-29,0.12308557331562042,0.12351293008212853,0.12308557331562042,0.12308557331562042,93161600,0.12308557331562042
1980-12-30,0.12052138368596493,0.12052138368596493,0.12009403854608536,0.12009403854608536,68880000,0.12009403854608536
1980-12-31,0.11710262936921108,0.11710262936921108,0.1166752725839615,0.11667527258396149,35750400,0.11667527258396149
1981-01-02,0.11795735359191895,0.11881206732229664,0.11795735359191895,0.11795735359191895,21660800,0.11795735359191895
1981-01-05,0.11582052938905694,0.11582052938905694,0.11539318412542343,0.11539318412542343,35728000,0.11539318412542343
1981-01-06,0.11069149396699378,0.11069149396699378,0.1102641373872757,0.1102641373872757,45158400,0.1102641373872757
1981-01-07,0.10599066212506873,0.10599066212506873,0.10556330531835556,0.10556330531835556,55686400,0.10556330531835556
1981-01-08,0.1038538388904538,0.1038538388904538,0.103426493704319,0.103426493704319,39827200,0.103426493704319
1981-01-09,0.10898211598396301,0.10940947270847111,0.10898211598396301,0.10898211598396301,21504000,0.10898211598396301
1981-01-12,0.10898209469823676,0.10898209469823676,0.10812739282846451,0.10812739282846451,23699200,0.10812739282846451
1981-01-13,0.10470861843252192,0.10470861843252192,0.10428126156330109,0.10428126156330109,23049600,0.10428126156330109
